num,payload_ent,tcp_ent,src_ip,src_mac,dst_ip,dst_mac,seq,ack,ip_len,func_code,ref_num,data_cnt,trans_id,mbtcp_len,sport,dport,payload_len,label
1,129.0,133.0,0,240,42,255,0,0,1,0,0,0,0,0,18,3,48,0
2,140.0,141.0,42,255,0,240,0,0,1,0,0,0,0,0,3,18,48,0
3,147.0,147.0,0,240,42,255,0,0,0,0,0,0,0,0,18,3,40,0
4,128.0,131.0,0,240,42,255,0,0,2,170,0,255,132,148,18,3,52,0
5,132.0,136.0,0,240,85,68,0,0,1,0,0,0,0,0,18,3,48,0
6,149.0,150.0,85,68,0,240,0,0,1,0,0,0,0,0,3,18,48,0
7,154.0,154.0,0,240,85,68,0,0,0,0,0,0,0,0,18,3,40,0
8,119.0,123.0,42,255,0,240,0,0,2,170,0,0,132,255,3,18,57,0
9,136.0,140.0,0,240,85,68,0,0,2,170,0,255,134,148,18,3,52,0
10,124.0,129.0,85,68,0,240,0,0,2,170,0,0,134,255,3,18,57,0
11,152.0,151.0,0,240,42,255,0,0,0,0,0,0,0,0,18,3,40,0
12,148.0,147.0,42,255,0,240,0,0,0,0,0,0,0,0,3,18,40,0
13,152.0,150.0,42,255,0,240,0,0,0,0,0,0,0,0,3,18,40,0
14,148.0,148.0,0,240,42,255,0,0,0,0,0,0,0,0,18,3,40,0
15,151.0,151.0,0,240,85,68,0,0,0,0,0,0,0,0,18,3,40,0
16,151.0,150.0,85,68,0,240,0,0,0,0,0,0,0,0,3,18,40,0
17,154.0,153.0,85,68,0,240,0,0,0,0,0,0,0,0,3,18,40,0
18,151.0,152.0,0,240,85,68,0,0,0,0,0,0,0,0,18,3,40,0
19,130.0,133.0,0,240,212,70,0,0,1,0,0,0,0,0,18,3,48,0
20,143.0,146.0,212,70,0,240,0,0,1,0,0,0,0,0,3,18,48,0
21,149.0,150.0,0,240,212,70,0,0,0,0,0,0,0,0,18,3,40,0
22,136.0,138.0,0,240,212,70,0,0,2,170,0,255,133,148,18,3,52,0
23,133.0,136.0,0,240,127,215,0,0,1,0,0,0,0,0,18,3,48,0
24,142.0,144.0,127,215,0,240,0,0,1,0,0,0,0,0,3,18,48,0
25,159.0,157.0,0,240,127,215,0,0,0,0,0,0,0,0,18,3,40,0
26,124.0,129.0,212,70,0,240,0,0,2,170,0,0,133,255,3,18,57,0
27,132.0,135.0,0,240,127,215,0,0,2,170,0,255,134,148,18,3,52,0
28,127.0,133.0,0,240,255,38,0,0,1,0,0,0,0,0,18,3,48,0
29,143.0,148.0,255,38,0,240,0,0,1,0,0,0,0,0,3,18,48,0
30,153.0,155.0,0,240,255,38,0,0,0,0,0,0,0,0,18,3,40,0
31,117.0,123.0,127,215,0,240,0,0,2,170,0,0,134,255,3,18,57,0
32,132.0,135.0,0,240,255,38,0,0,2,170,0,255,134,148,18,3,52,0
33,129.0,133.0,0,240,42,255,0,0,1,0,0,0,0,0,18,3,48,0
34,144.0,145.0,42,255,0,240,0,0,1,0,0,0,0,0,3,18,48,0
35,149.0,149.0,0,240,42,255,0,0,0,0,0,0,0,0,18,3,40,0
36,123.0,127.0,255,38,0,240,0,0,2,170,0,0,134,255,3,18,57,0
37,137.0,139.0,0,240,42,255,0,0,2,127,0,0,132,148,18,3,52,0
38,128.0,135.0,0,240,85,68,0,0,1,0,0,0,0,0,18,3,48,0
39,138.0,141.0,85,68,0,240,0,0,1,0,0,0,0,0,3,18,48,0
40,147.0,150.0,0,240,85,68,0,0,0,0,0,0,0,0,18,3,40,0
41,140.0,141.0,42,255,0,240,0,0,1,127,0,0,132,106,3,18,50,0
42,130.0,135.0,0,240,85,68,0,0,2,127,0,0,134,148,18,3,52,0
43,128.0,133.0,0,240,170,0,0,0,1,0,0,0,0,0,18,3,48,0
44,150.0,150.0,170,0,0,240,0,0,1,0,0,0,0,0,3,18,48,0
45,152.0,151.0,0,240,170,0,0,0,0,0,0,0,0,0,18,3,40,0
46,132.0,135.0,85,68,0,240,0,0,1,127,0,0,134,106,3,18,50,0
47,138.0,139.0,0,240,170,0,0,0,2,170,0,255,134,148,18,3,52,0
48,149.0,152.0,0,240,212,70,0,0,0,0,0,0,0,0,18,3,40,0
49,153.0,151.0,212,70,0,240,0,0,0,0,0,0,0,0,3,18,40,0
50,128.0,131.0,170,0,0,240,0,0,2,170,0,0,134,255,3,18,57,0
51,156.0,155.0,212,70,0,240,0,0,0,0,0,0,0,0,3,18,40,0
52,151.0,154.0,0,240,212,70,0,0,0,0,0,0,0,0,18,3,40,0
53,121.0,124.0,0,240,212,70,0,0,1,0,0,0,0,0,18,3,48,0
54,135.0,136.0,212,70,0,240,0,0,1,0,0,0,0,0,3,18,48,0
55,139.0,140.0,0,240,212,70,0,0,0,0,0,0,0,0,18,3,40,0
56,127.0,129.0,0,240,212,70,0,0,2,127,0,0,133,148,18,3,52,0
57,154.0,155.0,0,240,127,215,0,0,0,0,0,0,0,0,18,3,40,0
58,152.0,152.0,127,215,0,240,0,0,0,0,0,0,0,0,3,18,40,0
59,129.0,131.0,212,70,0,240,0,0,1,127,0,0,133,106,3,18,50,0
60,151.0,152.0,127,215,0,240,0,0,0,0,0,0,0,0,3,18,40,0
61,154.0,155.0,0,240,127,215,0,0,0,0,0,0,0,0,18,3,40,0
62,127.0,133.0,0,240,127,215,0,0,1,0,0,0,0,0,18,3,48,0
63,145.0,148.0,127,215,0,240,0,0,1,0,0,0,0,0,3,18,48,0
64,163.0,162.0,0,240,255,38,0,0,0,0,0,0,0,0,18,3,40,0
65,153.0,154.0,0,240,127,215,0,0,0,0,0,0,0,0,18,3,40,0
66,153.0,154.0,255,38,0,240,0,0,0,0,0,0,0,0,3,18,40,0
67,153.0,155.0,255,38,0,240,0,0,0,0,0,0,0,0,3,18,40,0
68,160.0,160.0,0,240,255,38,0,0,0,0,0,0,0,0,18,3,40,0
69,138.0,140.0,0,240,127,215,0,0,2,127,0,0,134,148,18,3,52,0
70,126.0,134.0,0,240,255,38,0,0,1,0,0,0,0,0,18,3,48,0
71,137.0,142.0,255,38,0,240,0,0,1,0,0,0,0,0,3,18,48,0
72,149.0,152.0,0,240,255,38,0,0,0,0,0,0,0,0,18,3,40,0
73,136.0,139.0,127,215,0,240,0,0,1,127,0,0,134,106,3,18,50,0
74,135.0,139.0,0,240,255,38,0,0,2,127,0,0,134,148,18,3,52,0
75,158.0,155.0,0,240,42,255,0,0,0,0,0,0,0,0,18,3,40,0
76,134.0,138.0,255,38,0,240,0,0,1,127,0,0,134,106,3,18,50,0
77,157.0,154.0,42,255,0,240,0,0,0,0,0,0,0,0,3,18,40,0
78,155.0,153.0,42,255,0,240,0,0,0,0,0,0,0,0,3,18,40,0
79,131.0,134.0,0,240,42,255,0,0,1,0,0,0,0,0,18,3,48,0
80,158.0,154.0,0,240,42,255,0,0,0,0,0,0,0,0,18,3,40,0
81,141.0,142.0,42,255,0,240,0,0,1,0,0,0,0,0,3,18,48,0
82,151.0,153.0,0,240,85,68,0,0,0,0,0,0,0,0,18,3,40,0
83,154.0,152.0,0,240,42,255,0,0,0,0,0,0,0,0,18,3,40,0
84,147.0,148.0,85,68,0,240,0,0,0,0,0,0,0,0,3,18,40,0
85,147.0,149.0,85,68,0,240,0,0,0,0,0,0,0,0,3,18,40,0
